SNR;SGL;FSP;gueltigVon;gueltigBis
139993;   ;SB;;
139993;   ;EZ;;
140272;   ;LB;;
140272;   ;SB;;
140272;   ;EZ;;
140387;   ;LB;;
140387;   ;SB;;
140387;   ;EZ;;
140387;   ;GB;;
140387;   ;KB;;
140387;   ;GH;;
140387;   ;SG;;
140387;   ;SH;;
140387;   ;BL;;
140478;   ;LB;;
140478;   ;SB;;
140478;   ;EZ;;
140478;   ;GB;;
140478;   ;KB;;
140478;   ;GH;;
140478;   ;SG;;
140545;   ;LB;;
140545;   ;SB;;
140545;   ;EZ;;
140545;   ;GB;;
140545;   ;KB;;
140545;   ;GH;;
140545;   ;SG;;
140545;   ;SH;;
140545;   ;BL;;
140594;   ;LB;;
140594;   ;SB;;
140594;   ;EZ;;
140594;   ;GB;;
140594;   ;KB;;
140594;   ;GH;;
140594;   ;SG;;
140594;   ;SH;;
140594;   ;BL;;
140673;   ;LB;;
140673;   ;SB;;
140673;   ;EZ;;
140673;   ;GB;;
140673;   ;KB;;
140673;   ;GH;;
140673;   ;SG;;
140673;   ;SH;;
140673;   ;BL;;
140685;   ;LB;;
140685;   ;SB;;
140685;   ;EZ;;
140685;   ;GB;;
140685;   ;KB;;
140685;   ;GH;;
140685;   ;SG;;
140685;   ;SH;;
140685;   ;BL;;
140843;   ;LB;;
140843;   ;SB;;
140843;   ;EZ;;
140843;   ;KB;;
140843;   ;GH;;
140843;   ;SG;;
140843;   ;SH;;
140843;   ;BL;;
140867;   ;LB;;
140867;   ;SB;;
140867;   ;EZ;;
140867;   ;KB;;
140867;   ;GH;;
140867;   ;SG;;
140867;   ;SH;;
140867;   ;BL;;
140879;   ;LB;;
140879;   ;SB;;
140879;   ;EZ;;
140879;   ;KB;;
140879;   ;GH;;
140879;   ;SG;;
140879;   ;SH;;
140879;   ;BL;;
140892;   ;LB;;
140892;   ;SB;;
140892;   ;EZ;;
140892;   ;KB;;
140892;   ;GH;;
140892;   ;SG;;
140892;   ;SH;;
140892;   ;BL;;
140909;   ;LB;;
140909;   ;SB;;
140909;   ;EZ;;
140909;   ;KB;;
140909;   ;GH;;
140909;   ;SG;;
140909;   ;SH;;
140909;   ;BL;;
140960;   ;LB;;
140960;   ;SB;;
140960;   ;EZ;;
140960;   ;KB;;
140960;   ;GH;;
140960;   ;SG;;
140960;   ;SH;;
140960;   ;BL;;
141021;   ;LB;;
141021;   ;SB;;
141021;   ;EZ;;
141021;   ;KB;;
141021;   ;GH;;
141021;   ;SG;;
141021;   ;SH;;
141021;   ;BL;;
