NameTabelle;NameSpalte;hatAutoIncrement
Schildintern_PruefOrd_Optionen;OP_POKrz;0
Schildintern_PruefOrd_Optionen;OP_Reihenfolge;0
Schildintern_PruefOrd_Optionen;OP_Schulformen;0
Schildintern_PruefungsOrdnung;PO_Krz;0
Schildintern_PruefungsOrdnung;PO_Schulform;0
Schildintern_PruefungsOrdnung;PO_SGL;0
Schildintern_SchuelerImpExp;Tabelle;0
Schildintern_SpezialFilterFelder;ID;0
Schildintern_TextExport;AnzeigeText;0
Schildintern_TextExport;DatenartKrz;0
Schildintern_TextExport;DBFormat;0
Schildintern_TextExport;Feldname;0
Schildintern_VerfImportFelder;ID;0
Schildintern_VerfImportTabellen;TableName;0
Schildintern_Zusatzinfos;JG_BKAbschl;0
Schildintern_Zusatzinfos;SGL_BKAbschl;0
Schueler;ID;1
Schueler_AllgAdr;ID;1
SchuelerAbgaenge;ID;1
SchuelerAbiFaecher;ID;1
SchuelerAbitur;ID;1
SchuelerAnkreuzfloskeln;ID;1
SchuelerBKAbschluss;Schueler_ID;0
SchuelerBKFaecher;ID;1
SchuelerDatenschutz;Datenschutz_ID;0
SchuelerDatenschutz;Schueler_ID;0
SchuelerEinzelleistungen;ID;1
SchuelerErzAdr;ID;1
SchuelerErzFunktion;ID;1
SchuelerFehlstunden;ID;1
SchuelerFHR;ID;1
SchuelerFHRFaecher;ID;1
SchuelerFoerderempfehlungen;GU_ID;0
SchuelerFotos;Schueler_ID;0
SchuelerGSDaten;Schueler_ID;0
SchuelerKAoADaten;ID;1
SchuelerLD_PSFachBem;ID;1
SchuelerLeistungsdaten;ID;1
SchuelerLernabschnittsdaten;ID;1
SchuelerListe;ID;1
SchuelerListe_Inhalt;Liste_ID;0
SchuelerListe_Inhalt;Schueler_ID;0
SchuelerMerkmale;Schueler_ID;0
SchuelerReportvorlagen;User_ID;0
SchuelerReportvorlagen;Reportvorlage;0
SchuelerSprachenfolge;ID;1
SchuelerTelefone;ID;1
SchuelerVermerke;ID;1
SchuelerWiedervorlage;ID;1
SchuelerZuweisungen;Abschnitt_ID;0
SchuelerZuweisungen;Fach_ID;0
Schulver_DBS;SchulNr;0
Schulver_Schulformen;Schulform;0
Schulver_Schultraeger;SchulNr;0
Schulver_WeitereSF;SNR;0
Schulver_WeitereSF;SGL;0
Schulver_WeitereSF;FSP;0
Statkue_Abgangsart;AbgangsJG;0
Statkue_Abgangsart;Art;0
Statkue_Abgangsart;KZ_Bereich;0
Statkue_Abgangsart;SF;0
Statkue_AllgMerkmale;ID;0
Statkue_AllgMerkmale;Kurztext;0
Statkue_AndereGrundschulen;SNR;0
Statkue_Bilingual;Fach;0
Statkue_Bilingual;SF;0
Statkue_Einschulungsart;Art;0
Statkue_Fachklasse;AP;0
Statkue_Fachklasse;BKIndex;0
Statkue_Fachklasse;FKS;0
Statkue_Foerderschwerpunkt;FSP;0
Statkue_Foerderschwerpunkt;SF;0
Statkue_Gliederung;BKAnlage;0
Statkue_Gliederung;BKTyp;0
Statkue_Gliederung;Flag;0
Statkue_Gliederung;SF;0
Statkue_Herkunftsart;Art;0
Statkue_Herkunftsart;SF;0
Statkue_Herkunftsschulform;HSF;0
Statkue_Herkunftsschulform;SF;0
Statkue_LehrerAbgang;ID;0
Statkue_LehrerAnrechnung;ID;0
Statkue_LehrerBeschaeftigungsart;ID;0
Statkue_LehrerEinsatzstatus;ID;0
Statkue_LehrerFachrAnerkennung;ID;0
Statkue_LehrerFachrichtung;ID;0
Statkue_LehrerLehramt;ID;0
Statkue_LehrerLehramtAnerkennung;ID;0
Statkue_LehrerLehrbefaehigung;ID;0
Statkue_LehrerLehrbefAnerkennung;ID;0
Statkue_LehrerLeitung;ID;0
Statkue_LehrerMehrleistung;ID;0
Statkue_LehrerMinderleistung;ID;0
Statkue_LehrerRechtsverhaeltnis;ID;0
Statkue_LehrerZugang;ID;0
Statkue_Nationalitaeten;Schluessel;0
Statkue_Organisationsform;FSP;0
Statkue_Organisationsform;OrgForm;0
Statkue_Organisationsform;SF;0
Statkue_PLZOrt;ID;0
Statkue_Reformpaedagogik;RPG;0
Statkue_Reformpaedagogik;SF;0
Statkue_Religionen;Schluessel;0
Statkue_SchuelerErsteSchulformSekI;ID;0
Statkue_SchuelerKindergartenbesuch;ID;0
Statkue_SchuelerUebergangsempfehlung5Jg;ID;0
Statkue_SchuelerVerkehrssprache;ID;0
Statkue_Strassen;RegSchl;0
Statkue_Strassen;Strasse;0
Statkue_Schulformen;Bezeichnung;0
Statkue_Schulformen;SF;0
Statkue_ZulFaecher;Bezeichnung;0
Statkue_ZulFaecher;BG;0
Statkue_ZulFaecher;Fach;0
Statkue_ZulFaecher;Flag;0
Statkue_ZulFaecher;FSP;0
Statkue_ZulFaecher;Schulform;0
Statkue_ZulJahrgaenge;ID;0
Statkue_ZulKlArt;Bezeichnung;0
Statkue_ZulKlArt;FSP;0
Statkue_ZulKlArt;KlArt;0
Statkue_ZulKlArt;Schulform;0
Statkue_ZulKuArt;Bezeichnung;0
Statkue_ZulKuArt;BG;0
Statkue_ZulKuArt;Flag;0
Statkue_ZulKuArt;FSP;0
Statkue_ZulKuArt;JgBereich;0
Statkue_ZulKuArt;Kursart;0
Statkue_ZulKuArt;Kursart2;0
Statkue_ZulKuArt;SF;0
Stundenplan;ID;1
Stundenplan_Aufsichtsbereiche;ID;1
Stundenplan_Pausenaufsichten;ID;1
Stundenplan_PausenaufsichtenBereich;ID;1
Stundenplan_Pausenzeit;ID;1
Stundenplan_Raeume;ID;1
Stundenplan_Unterricht;ID;1
Stundenplan_UnterrichtLehrer;ID;1
Stundenplan_UnterrichtRaum;ID;1
Stundenplan_Zeitraster;ID;1
Stundentafel;ID;1
Stundentafel_Faecher;ID;1
SVWS_Client_Konfiguration_Benutzer;Benutzer_ID;0
SVWS_Client_Konfiguration_Benutzer;AppName;0
SVWS_Client_Konfiguration_Benutzer;Schluessel;0
SVWS_Client_Konfiguration_Global;AppName;0
SVWS_Client_Konfiguration_Global;Schluessel;0
SVWS_DB_AutoInkremente;NameTabelle;0
SVWS_DB_Version;Revision;0
TextExportVorlagen;SchulNrEigner;0
TextExportVorlagen;VorlageName;0
Usergroups;UG_ID;0
Users;ID;1
Versetzung;ID;1
ZuordnungReportvorlagen;ID;1
