Name;Revision;Veraltet;Migration;ImpExp;JavaKlasse;JavaPackage;JavaKommentar
Stundenplan_Zeitraster;5;-1;0;1;DTOStundenplanZeitraster;schild.stundenplan;Enthält das Zeitraster eines Stundenplan. Dieses wird üblicherweise aus der Tabelle Katalog_Zeitraster übernommen und hier zwischengespeichert. Änderungen im Katalog werden nicht hierhin übernommen.
Stundentafel;0;-1;1;1;DTOStundentafel;schild.schule;Katalog der angelegten Stundentafeln zur Zuweisung von Fächern bei Schülern
Stundentafel_Faecher;0;-1;1;1;DTOStundentafelFaecher;schild.schule;Fächereinträge zu den Stundentafeln
SVWS_Client_Konfiguration_Benutzer;0;-1;0;1;DTOClientKonfigurationBenutzer;svws.client;Tabelle für das Speichern von Client-Konfigurationen als Key-Value-Paare. Dabei werden über das Feld App unterschiedliche Client-Anwendungen unterstützt und über das Feld Benutzer eine Benutzerspezifische Speicherung.
SVWS_Client_Konfiguration_Global;0;-1;0;1;DTOClientKonfigurationGlobal;svws.client;Tabelle für das Speichern von Client-Konfigurationen als Key-Value-Paare. Dabei werden über das Feld App unterschiedliche Client-Anwendungen unterstützt. Die Konfigurationen in dieser Tabelle gelten global für den Client.
SVWS_DB_AutoInkremente;0;-1;0;0;DTODBAutoInkremente;svws.db;Tabelle für das Zwischenspeichern der bisherigen Maximalwerte beim Einfügen, damit eine DBMS-unabhängige Auto-Inkrement-Funktion realisiert werden kann.
SVWS_DB_Version;0;-1;0;0;DTODBVersion;svws.db;Diese Tabelle enthält die Versionsinformationen zu der SVWS-DB
TextExportVorlagen;0;-1;1;1;DTOTextExportVorlagen;schild;gespeicherte Vorlagen für den Datenaustausch > Text-/Excel-Export
Usergroups;0;-1;1;1;DTOUserGroups;schild.benutzer;Usergruppen mit Berechtigungen
Users;0;-1;1;1;DTOUsers;schild.benutzer;Tabelle der Schild-User
Versetzung;0;1;1;1;DTOVersetzung;schild.klassen;Tabelle für die Klassen-/Versetzungstabelle
ZuordnungReportvorlagen;0;-1;1;1;DTOZuordnungReportvorlagen;schild;Zuordnungen von Reports für den Zeugnisdruck (automatisierter Druck)
