Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
MW;Methodik des wissenschaftl. orientierten Arbeitens;MW;Methodik des wissenschaftl. orientierten Arbeitens;;;BK,SB;;;;0;0;0;0;0;0;1;;
MX;Spezielle sonderpädagogische Maßnahme;MX;Spezielle sonderpädagogische Maßnahme;;;S,SG;;;;0;0;0;0;0;0;1;;
MY;Fächerübergreifender Unterricht in der Sekundarstufe I;MY;Fächerübergreifender Unterricht in der Sekundarstufe I;;;S;;;;0;0;0;0;0;0;1;;
N;Niederländisch;N;Niederländisch;1;3;BK,H,SB,SK,V;;;;1;0;0;0;0;0;1;;
N0;Niederländisch, regulärer Beginn in der Einführungsphase;N;Niederländisch, regulärer Beginn in der Einführungsphase;1;3;GE,GM,GY,PS,SG;;;EF;1;0;0;0;0;1;1;;
N5;Niederländisch, regulärer Beginn in Jahrgang 5;N;Niederländisch, regulärer Beginn in Jahrgang 5;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;5;1;0;0;0;0;0;1;;
N6;Niederländisch, regulärer Beginn in Jahrgang 6;N;Niederländisch, regulärer Beginn in Jahrgang 6;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;6;1;0;0;0;0;0;1;;
N7;Niederländisch, regulärer Beginn in Jahrgang 7;N;Niederländisch, regulärer Beginn in Jahrgang 7;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;7;1;0;0;0;0;0;1;;
N8;Niederländisch, regulärer Beginn in Jahrgang 8;N;Niederländisch, regulärer Beginn in Jahrgang 8;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;8;1;0;0;0;0;0;1;;
NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
NM;Unterricht in der Herkunftssprache – Niederländisch;NM;Unterricht in der Herkunftssprache – Niederländisch;;;BK,G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
NQ;Niederländisch, außerhalb des regulären Fachunterrichts;N;Niederländisch, außerhalb des regulären Fachunterrichts;;;GE,GM,GY,PS,R,SG,SK,SR;;;;1;0;1;0;0;0;1;;
NW;Naturwissenschaften;NW;Naturwissenschaften;;10;BK,GE,GM,PS,S,SB,SG,SK,SR;;;;0;0;0;0;0;0;1;;
O;Portugiesisch;O;Portugiesisch;1;3;(H,R),WB;;;;1;0;0;0;0;0;1;;
O0;Portugiesisch, regulärer Beginn in der Einführungsphase;O;Portugiesisch, regulärer Beginn in der Einführungsphase;1;3;GE,GM,GY,PS,SG;;;EF;1;0;0;0;0;1;1;;
O5;Portugiesisch, regulärer Beginn in Jahrgang 5;O;Portugiesisch, regulärer Beginn in Jahrgang 5;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;5;1;0;0;0;0;0;1;;
O6;Portugiesisch, regulärer Beginn in Jahrgang 6;O;Portugiesisch, regulärer Beginn in Jahrgang 6;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;6;1;0;0;0;0;0;1;;
O7;Portugiesisch, regulärer Beginn in Jahrgang 7;O;Portugiesisch, regulärer Beginn in Jahrgang 7;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;7;1;0;0;0;0;0;1;;
O8;Portugiesisch, regulärer Beginn in Jahrgang 8;O;Portugiesisch, regulärer Beginn in Jahrgang 8;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;8;1;0;0;0;0;0;1;;
OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;;;GE,GM,GY,(H,R),PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
OL;Organisationslehre/Büroorganisation;OL;Organisationslehre/Büroorganisation;;;BK,SB;;;;0;0;0;0;0;0;1;;
OM;Unterricht in der Herkunftssprache - Portugiesisch;OM;Unterricht in der Herkunftssprache - Portugiesisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;;;GE,GM,GY,PS,R,SG,SK,SR;;;;0;0;0;0;0;0;1;;
OR;Orthodoxe Religionslehre;OR;Orthodoxe Religionslehre;;8;BK,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
