Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
Z0;Neugriechisch, regulärer Beginn in der Einführungsphase;Z;Neugriechisch, regulärer Beginn in der Einführungsphase;1;3;GE,GM,GY,PS,SG;;;EF;1;0;0;0;0;1;1;;
Z5;Neugriechisch, regulärer Beginn in Jahrgang 5;Z;Neugriechisch, regulärer Beginn in Jahrgang 5;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;5;1;0;0;0;0;0;1;;
Z6;Neugriechisch, regulärer Beginn in Jahrgang 6;Z;Neugriechisch, regulärer Beginn in Jahrgang 6;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;6;1;0;0;0;0;0;1;;
Z7;Neugriechisch, regulärer Beginn in Jahrgang 7;Z;Neugriechisch, regulärer Beginn in Jahrgang 7;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;7;1;0;0;0;0;0;1;;
Z8;Neugriechisch, regulärer Beginn in Jahrgang 8;Z;Neugriechisch, regulärer Beginn in Jahrgang 8;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;8;1;0;0;0;0;0;1;;
ZF;Zusätzliche Förderung;ZF;Zusätzliche Förderung;;;G,PS,S,V;;;;0;0;0;0;0;0;1;;
ZH;Herkunftssprache anstelle einer Pflichtfremdsprache - Kurdische Sprachen;ZH;Herkunftssprache anstelle einer Pflichtfremdsprache - Kurdische Sprachen;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
ZM;Unterricht in der Herkunftssprache - Kurdische Sprachen (Sorani, Komanci, Zaza);ZM;Unterricht in der Herkunftssprache - Kurdische Sprachen (Sorani, Komanci, Zaza);;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
ZQ;Neugriechisch, außerhalb des regulären Fachunterrichts;Z;Neugriechisch, außerhalb des regulären Fachunterrichts;;;GE,GM,GY,PS,R,SG,SK,SR;;;;1;0;1;0;0;0;1;;
ZW;Zeichnen / Werken;ZW;Zeichnen / Werken;;4;BK,SB;;;;0;0;0;0;0;0;1;;
