Schulform;FSP;BG;Fach;Bezeichnung;KZ_Bereich;Flag;Sortierung;Sortierung2;geaendert
SR;;***;N8;Niederländisch, regulärer Beginn in Jahrgang 8;0;1;14;3;2016-03-23 11:26:04
SR;;***;N8;Niederländisch, regulärer Beginn in Jahrgang 8;0;2;14;4;2016-03-23 12:59:51
GE;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;1;14;8;2020-08-13 10:31:30
GM;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;0;1;14;8;2018-04-04 14:01:40
GY;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;1;14;8;2018-04-04 16:38:30
H;;R;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;1;14;2;2016-02-22 15:57:45
PS;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;0;1;14;7;2018-04-05 09:54:22
R;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;0;1;14;7;2018-04-05 09:31:47
S;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;1;14;1;2016-02-22 14:26:50
SG;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;1;14;8;2020-08-13 09:20:14
SK;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;0;1;14;8;2018-04-05 10:12:52
SR;;***;NH;Herkunftssprache anstelle einer Pflichtfremdsprache - Polnisch;;1;14;6;2018-04-05 11:50:40
BK;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;0;2018-04-05 10:37:54
G;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;1;2018-04-04 13:25:49
GE;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;7;2020-08-13 10:31:28
GM;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;7;2018-04-04 16:35:14
GY;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;7;2018-04-04 16:38:27
H;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;3;2018-04-04 17:05:22
PS;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;6;2018-04-05 09:54:19
R;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;6;2018-04-05 09:31:50
S;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;2;2018-04-04 13:27:03
SG;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;7;2020-08-13 09:20:13
SK;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;7;2018-04-05 10:12:50
SR;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;6;2018-04-05 11:50:35
V;;***;NM;Unterricht in der Herkunftssprache - Niederländisch;0;1;14;2;2018-04-05 11:15:11
GE;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;6;2020-08-13 10:31:27
GM;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;6;2017-02-07 10:43:28
GY;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;6;2017-02-07 10:48:04
PS;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;5;2016-02-22 16:02:27
R;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;5;2018-03-07 11:49:22
SG;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;6;2020-08-13 09:20:12
SK;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;6;2016-02-22 13:21:32
SR;;***;NQ;Niederländisch, außerhalb des regulären Fachunterrichts;0;1;14;4;2018-03-07 11:48:51
BK;;***;NW;Naturwissenschaften;0;1;14;0;2012-04-17 10:36:31
GE;;***;NW;Naturwissenschaften;;1;14;9;2020-08-13 10:31:34
GM;;***;NW;Naturwissenschaften;0;1;14;9;2018-04-04 14:01:46
PS;;***;NW;Naturwissenschaften;0;1;14;8;2018-04-05 09:54:25
S;;***;NW;Naturwissenschaften;0;1;14;3;2018-04-04 13:04:32
SB;;***;NW;Naturwissenschaften;0;1;14;0;2012-04-17 10:36:43
SG;;***;NW;Naturwissenschaften;0;1;14;9;2020-08-13 09:20:19
SK;;***;NW;Naturwissenschaften;0;1;14;9;2018-04-05 10:12:57
SR;;***;NW;Naturwissenschaften;0;1;14;7;2018-04-05 11:51:32
H;;R;O;Portugiesisch;0;1;15;1;2016-02-22 15:57:45
WB;;***;O;Portugiesisch;0;1;15;1;2016-02-22 13:08:24
GE;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;1;15;5;2020-08-13 10:31:43
GE;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;2;15;5;2020-08-13 10:31:39
GM;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;1;15;5;2017-02-07 10:37:33
GM;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;2;15;5;2017-02-07 10:37:31
GY;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;1;15;5;2016-02-22 15:54:09
GY;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;2;15;5;2016-02-22 15:54:11
PS;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;1;15;4;2016-02-22 16:02:36
PS;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;2;15;4;2016-02-22 16:02:38
SG;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;1;15;1;2016-02-22 13:35:20
SG;;***;O0;Portugiesisch, regulärer Beginn in der Einführungsphase;0;2;15;1;2016-02-22 13:35:21
GE;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-02-22 15:05:18
GE;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-02-22 15:05:19
GM;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-02-22 15:49:11
GM;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-02-22 15:49:11
GY;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-02-22 15:54:02
GY;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-02-22 15:54:03
PS;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-02-22 16:02:31
PS;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-02-22 16:02:32
R;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-03-23 11:00:46
R;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-03-23 12:57:59
SG;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;;1;15;2;2016-02-22 13:35:22
SG;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;2;2016-02-22 13:35:24
SK;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-02-23 11:09:02
SK;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-02-23 11:09:02
SR;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;1;15;1;2016-03-23 11:17:28
SR;;***;O5;Portugiesisch, regulärer Beginn in Jahrgang 5;0;2;15;1;2016-03-23 12:59:52
GE;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-02-22 15:05:20
GE;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-02-22 15:05:22
GM;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-02-22 15:49:12
GM;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-02-22 15:49:13
GY;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-02-22 15:54:03
GY;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-02-22 15:54:04
PS;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-02-22 16:02:33
PS;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-02-22 16:02:34
R;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-03-23 11:00:49
R;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-03-23 12:57:59
SG;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;3;2016-02-22 13:35:25
SG;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;3;2016-02-22 13:35:26
SK;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-02-23 11:09:03
SK;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-02-23 11:09:04
SR;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;1;15;2;2016-03-23 11:17:29
SR;;***;O6;Portugiesisch, regulärer Beginn in Jahrgang 6;0;2;15;2;2016-03-23 12:59:52
GE;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;1;15;3;2020-08-13 10:31:35
GE;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;2;15;3;2020-08-13 10:31:35
GM;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;1;15;3;2016-02-22 15:49:14
GM;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;2;15;3;2016-02-22 15:49:16
GY;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;1;15;3;2016-02-22 15:54:05
GY;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;2;15;3;2016-02-22 15:54:06
R;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;1;15;3;2016-03-23 11:00:50
R;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;2;15;3;2016-03-23 12:58:00
SG;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;1;15;4;2020-08-13 09:20:19
SG;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;2;15;4;2020-08-13 09:20:24
SK;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;1;15;3;2016-02-23 11:09:04
SK;;***;O7;Portugiesisch, regulärer Beginn in Jahrgang 7;0;2;15;3;2016-02-23 11:09:05
GE;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;4;2020-08-13 10:31:38
GE;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;4;2020-08-13 10:31:36
GM;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;4;2016-02-22 15:49:16
GM;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;4;2016-02-22 15:49:18
GY;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;4;2016-02-22 15:54:06
GY;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;4;2016-02-22 15:54:09
PS;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;3;2016-02-22 16:02:34
PS;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;3;2016-02-22 16:02:35
R;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;4;2016-03-23 11:00:54
R;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;4;2016-03-23 12:58:07
SG;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;5;2020-08-13 09:20:38
SG;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;5;2020-08-13 09:20:34
SK;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;4;2016-02-23 11:09:06
SK;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;4;2016-02-23 11:09:07
SR;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;1;15;3;2016-03-23 11:26:17
SR;;***;O8;Portugiesisch, regulärer Beginn in Jahrgang 8;0;2;15;4;2016-03-23 12:59:53
GE;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;;1;15;7;2020-08-13 10:31:46
GM;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;0;1;15;7;2017-02-07 10:43:40
GY;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;;1;15;7;2016-02-22 15:54:14
H;;R;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;0;1;15;2;2016-02-22 15:57:46
PS;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;0;1;15;6;2016-02-22 16:02:40
R;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;0;1;15;6;2016-03-23 11:01:16
S;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;0;1;15;1;2016-02-22 14:27:16
SG;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;;1;15;7;2020-08-13 09:20:41
SK;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;0;1;15;7;2016-02-22 13:21:56
SR;;***;OH;Herkunftssprache anstelle einer Pflichtfremdsprache - Portugiesisch;;1;15;5;2016-03-23 11:26:22
BK;;***;OL;Organisationslehre/Büroorganisation;0;1;15;0;
SB;;***;OL;Organisationslehre/Büroorganisation;0;1;15;0;
G;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;1;2016-02-22 15:00:01
GE;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;8;2020-08-13 10:31:47
GM;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;0;1;15;8;2017-02-07 10:43:43
GY;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;8;2016-02-22 15:54:15
H;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;3;2016-02-22 15:57:47
PS;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;0;1;15;7;2016-02-22 16:02:41
R;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;7;2016-03-23 11:01:21
S;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;0;1;15;2;2016-02-22 14:27:29
SG;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;8;2020-08-13 09:20:43
SK;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;0;1;15;8;2016-02-22 13:21:59
SR;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;6;2016-03-23 11:26:24
V;;***;OM;Unterricht in der Herkunftssprache - Portugiesisch;;1;15;1;2018-04-05 11:15:52
GE;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;6;2020-08-13 10:31:45
GM;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;6;2017-02-07 10:43:38
GY;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;6;2016-02-22 15:54:13
PS;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;5;2016-02-22 16:02:39
R;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;5;2016-03-23 11:03:44
SG;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;6;2020-08-13 09:20:40
SK;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;6;2016-02-22 13:21:53
SR;;***;OQ;Portugiesisch, außerhalb des regulären Fachunterrichts;0;1;15;4;2018-03-07 11:52:35
BK;;***;OR;Orthodoxe Religionslehre;-1;1;15;0;2018-03-13 09:26:29
G;;***;OR;Orthodoxe Religionslehre;;1;15;2;2018-03-13 09:26:31
GE;;***;OR;Orthodoxe Religionslehre;;1;15;9;2020-08-13 10:31:53
GM;;***;OR;Orthodoxe Religionslehre;0;1;15;9;2018-03-13 09:25:52
GY;;***;OR;Orthodoxe Religionslehre;;1;15;9;2018-03-13 09:26:32
H;;***;OR;Orthodoxe Religionslehre;;1;15;4;2018-03-13 09:26:44
PS;;***;OR;Orthodoxe Religionslehre;0;1;15;8;2018-03-13 09:25:49
R;;***;OR;Orthodoxe Religionslehre;;1;15;8;2018-03-13 09:26:34
S;;***;OR;Orthodoxe Religionslehre;0;1;15;3;2018-03-13 09:26:30
SB;;***;OR;Orthodoxe Religionslehre;0;1;15;0;2018-03-13 09:25:15
SG;;***;OR;Orthodoxe Religionslehre;;1;15;9;2020-08-13 09:20:50
SK;;***;OR;Orthodoxe Religionslehre;0;1;15;9;2018-03-13 09:26:24
SR;;***;OR;Orthodoxe Religionslehre;;1;15;7;2018-03-13 09:26:28
V;;***;OR;Orthodoxe Religionslehre;;1;15;2;2018-03-13 09:26:36
WB;;***;OR;Orthodoxe Religionslehre;;1;15;2;2018-03-13 09:26:26
BK;;***;PA;Pädagogik/ Erziehungswissenschaft;-1;1;16;0;
GE;;***;PA;Pädagogik/ Erziehungswissenschaft;;1;16;2;2016-02-22 15:06:03
GM;;***;PA;Pädagogik/ Erziehungswissenschaft;0;1;16;2;2016-02-22 15:49:24
GY;;***;PA;Pädagogik/ Erziehungswissenschaft;;1;16;2;2019-04-08 11:09:34
H;;***;PA;Pädagogik/ Erziehungswissenschaft;0;1;16;2;2016-02-22 15:57:50
PS;;***;PA;Pädagogik/ Erziehungswissenschaft;0;1;16;2;2016-02-22 16:02:46
R;;***;PA;Pädagogik/ Erziehungswissenschaft;;1;16;2;2016-02-22 16:08:12
S;;***;PA;Pädagogik/ Erziehungswissenschaft;0;1;16;1;2016-02-22 14:27:56
SB;;***;PA;Pädagogik/ Erziehungswissenschaft;;1;16;0;
SG;;***;PA;Pädagogik/ Erziehungswissenschaft;;1;16;2;2016-02-22 13:35:40
SK;;***;PA;Pädagogik/ Erziehungswissenschaft;0;1;16;2;2016-02-22 13:22:05
SR;;***;PA;Pädagogik/ Erziehungswissenschaft;;1;16;2;2016-02-22 13:12:55
WB;;***;PA;Pädagogik/ Erziehungswissenschaft;0;1;16;2;2016-02-22 13:08:04
BK;;***;PH;Physik;-1;1;16;0;2004-06-25 10:47:40
GE;;***;PH;Physik;;1;16;3;2016-02-22 15:06:03
GM;;***;PH;Physik;0;1;16;3;2016-02-22 15:49:25
GY;;***;PH;Physik;;1;16;3;2016-02-22 15:54:19
H;;***;PH;Physik;;1;16;3;2016-02-22 15:57:51
PS;;***;PH;Physik;0;1;16;3;2016-02-22 16:02:47
R;;***;PH;Physik;;1;16;3;2016-02-22 16:08:13
S;;***;PH;Physik;0;1;16;2;2016-02-22 14:28:00
SB;;***;PH;Physik;;1;16;0;
SG;;***;PH;Physik;;1;16;3;2016-02-22 13:35:41
SK;;***;PH;Physik;0;1;16;3;2016-02-22 13:22:05
SR;;***;PH;Physik;;1;16;3;2016-02-22 13:12:57
V;;***;PH;Physik;;1;16;1;2016-02-22 13:11:06
WB;;***;PH;Physik;0;1;16;3;2016-02-22 13:08:04
BK;;***;PK;Politik;-1;1;16;0;
GE;;***;PK;Politik;;1;16;4;2019-04-08 10:49:33
GM;;***;PK;Politik;0;1;16;4;2016-02-22 15:49:26
GY;;***;PK;Politik;;1;16;4;2019-04-08 11:06:21
H;;***;PK;Politik;;1;16;4;2016-02-22 15:57:52
PS;;***;PK;Politik;0;1;16;4;2019-04-08 11:50:14
R;;***;PK;Politik;;1;16;4;2016-02-22 16:08:14
S;;***;PK;Politik;0;1;16;3;2016-02-22 14:28:24
SB;;***;PK;Politik;;1;16;0;
SG;;***;PK;Politik;;1;16;4;2016-02-22 13:35:42
SK;;***;PK;Politik;0;1;16;4;2016-02-22 13:22:06
SR;;***;PK;Politik;;1;16;4;2016-02-22 13:12:59
V;;***;PK;Politik;;1;16;2;2016-02-22 13:11:07
WB;;***;PK;Politik;0;1;16;4;2016-02-22 13:08:08
BK;;***;PL;Philosophie;-1;1;16;0;
GE;;***;PL;Philosophie;;1;16;5;2016-02-22 15:06:07
GM;;***;PL;Philosophie;0;1;16;5;2017-02-07 10:38:13
GY;;***;PL;Philosophie;;1;16;5;2019-04-08 11:09:41
PS;;***;PL;Philosophie;0;1;16;5;2016-02-22 16:02:48
S;;***;PL;Philosophie;0;1;16;4;2016-02-22 14:28:35
SB;;***;PL;Philosophie;;1;16;0;
SG;;***;PL;Philosophie;;1;16;5;2016-02-22 13:35:43
SK;;***;PL;Philosophie;0;1;16;5;2019-04-08 13:05:57
WB;;***;PL;Philosophie;0;1;16;5;2016-02-22 13:08:09
G;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;1;2016-02-22 15:00:05
GE;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;6;2016-02-22 15:06:08
GM;;***;PM;Unterricht in der Herkunftssprache - Polnisch;0;1;16;6;2017-02-07 10:45:36
GY;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;6;2016-02-22 15:54:25
H;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;5;2016-02-22 15:57:53
PS;;***;PM;Unterricht in der Herkunftssprache - Polnisch;0;1;16;6;2016-02-22 16:02:48
R;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;5;2016-02-22 16:08:15
S;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;5;2016-02-22 14:28:44
SG;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;6;2016-02-22 13:35:44
SK;;***;PM;Unterricht in der Herkunftssprache - Polnisch;0;1;16;6;2019-04-08 13:04:26
SR;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;5;2016-02-22 13:12:59
V;;***;PM;Unterricht in der Herkunftssprache - Polnisch;;1;16;3;2016-02-22 13:11:10
GM;;R;PÖ;Politik/Ökonomische Grundbildung;0;1;16;7;2017-02-07 10:45:38
H;;R;PÖ;Politik/Ökonomische Grundbildung;0;1;16;6;2016-02-22 15:57:54
R;;***;PÖ;Politik/Ökonomische Grundbildung;0;1;16;6;2016-02-22 16:08:15
S;;R00;PÖ;Politik/Ökonomische Grundbildung;0;1;16;6;2016-02-22 14:28:55
SK;;R;PÖ;Politik/Ökonomische Grundbildung;0;1;16;7;2019-04-08 13:04:28
SR;;***;PÖ;Politik/Ökonomische Grundbildung;0;1;16;6;2016-02-22 13:13:00
BK;;***;PP;Praktische Philosophie;;1;16;0;
GE;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 15:06:10
GM;;***;PP;Praktische Philosophie;0;1;16;8;2017-02-07 10:45:39
GY;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 15:54:26
H;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 15:57:54
PS;;***;PP;Praktische Philosophie;0;1;16;7;2016-02-22 16:02:51
R;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 16:08:17
S;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 14:29:05
SB;;***;PP;Praktische Philosophie;0;1;16;0;
SG;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 13:35:45
SK;;***;PP;Praktische Philosophie;0;1;16;8;2019-04-08 13:04:30
SR;;***;PP;Praktische Philosophie;;1;16;7;2016-02-22 13:13:01
V;;***;PP;Praktische Philosophie;;1;16;4;2016-02-22 13:11:11
WB;;***;PP;Praktische Philosophie;;1;16;6;2016-02-22 13:08:11
BK;;***;PS;Psychologie;-1;1;16;0;
GE;;***;PS;Psychologie;;1;16;8;2016-02-22 15:06:11
GM;;***;PS;Psychologie;0;1;16;9;2017-02-07 10:46:25
GY;;***;PS;Psychologie;;1;16;8;2019-04-08 11:09:56
H;;***;PS;Psychologie;0;1;16;8;2016-02-22 15:57:56
PS;;***;PS;Psychologie;0;1;16;8;2016-02-22 16:02:52
R;;***;PS;Psychologie;;1;16;8;2016-02-22 16:08:18
S;;***;PS;Psychologie;0;1;16;8;2016-02-22 14:29:20
SB;;***;PS;Psychologie;;1;16;0;
SG;;***;PS;Psychologie;;1;16;8;2016-02-22 13:35:46
SK;;***;PS;Psychologie;0;1;16;9;2019-04-08 13:04:51
SR;;***;PS;Psychologie;;1;16;8;2016-02-22 13:13:04
WB;;***;PS;Psychologie;0;1;16;7;2016-02-22 13:08:12
BK;;***;PU;Fachübergreifender Unterricht;-1;1;16;0;
SB;;***;PU;Fachübergreifender Unterricht;;1;16;0;
BK;;***;PW;Personalwirtschaft und Soziologie/Politik;;1;16;0;
SB;;***;PW;Personalwirtschaft und Soziologie/Politik;0;1;16;0;2011-05-20 15:34:13
GE;;***;PX;Projektkurs (mit einem oder zwei Leitfächern);0;3;16;9;2016-02-22 15:06:14
GY;;***;PX;Projektkurs (mit einem oder zwei Leitfächern);0;3;16;9;2016-02-22 15:54:30
SG;;***;PX;Projektkurs (mit einem oder zwei Leitfächern);0;3;16;9;2016-02-22 13:35:49
WB;;***;PX;Projektkurs (mit einem oder zwei Leitfächern);0;3;16;8;2016-02-22 13:08:23
GE;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-04 15:41:13
GM;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-04 15:00:38
GY;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-04 16:26:41
H;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-04 16:58:07
PS;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-05 09:42:00
R;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-05 09:24:37
S;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-06 16:18:27
SG;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-05 11:33:11
SK;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-05 10:06:13
SR;;***;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;0;1;17;1;2018-04-05 11:51:54
BK;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;0;2018-04-05 10:35:22
G;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;1;2018-04-03 15:49:22
GE;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-04 15:41:30
GM;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-04 15:02:29
GY;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-04 16:26:29
H;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-04 16:58:12
PS;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-05 09:41:52
R;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-05 09:24:17
S;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;1;2018-04-04 13:13:11
SG;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-05 11:33:26
SK;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-05 10:06:24
SR;;***;QM;Unterricht in der Herkunftssprache - Farsi;0;1;17;2;2018-04-05 11:52:09
