"ID";"Kurztext";"Langtext";"Beginn";"Ende";"Sort"
1;Schulleit;Schulleitung;"1900-01-01 00:00:00";;100
2;Vertret;stellv. Schulleitung;"1900-01-01 00:00:00";;200
